ID,Folio,Illustration title,Textual elements,Initials,Characters,Costume,Objects,Landscape,Architecture,Other
17,21v,69,,Penwork initial beneath miniature,"2,96",Orange cote with buttoned sleeves on L'Amans at right,,,"Castle with pointed roof, arched door and steps",Column miniature; diaper pattern background; preliminary sketch in lower margin
18,22r,70,,Penwork initial beneath miniature,"2,3",Knee-length tunics with hoods pulled back,,,,Column miniature; diaper pattern background; preliminary sketch in lower margin beneath miniature
19,27r,93,,,11,,,,"Stone block blue tower with pointed orange roof, barred window",Column miniature; diaper pattern background; preliminary sketch of tower and barred window in lower margin
20,28v,95,,Penwork initial beneath miniature,60,"Orange surcoat over blue cote with buttoned sleeves, tonsure","Chair, writing table, parchment, writing instrument",,,Column miniature; diaper pattern background; preliminary sketch in lower margin 
21,42r,98,,,44,Orange cote with buttoned sleeves,"Wheel, blindfold",,,Column miniature; diaper pattern background; preliminary sketch of wheel in lower margin
22,45r,110,,Penwork initial beneath miniature,22,"White tunic and bare legs and feet, gilt crown",Gallows and noose,,,Column miniature; diaper pattern background; preliminary sketch in lower margin 
23,62v,132,,Penwork initial beneath miniature,"57, Jalous' wife, Reson?, L'Amans?",Cotes with buttoned sleeves,Club held by Jalous,,,Column miniature; diaper pattern background; preliminary sketch in lower margin beneath miniature
24,67r,143,,Gilt initial beneath miniature,"97,2",Sleeveless orange surcoat over blue cote on Richece at left,,,,Column miniature; diaper pattern background; preliminary sketch in lower margin 
25,80v,163,,Penwork initial beneath miniature,"18,41","Brown habits, rope belts, tonsures, monks","Shoulder purses, walking sticks",,,Column miniature; diaper pattern background; preliminary sketch in lower margin 
26,81v,165,,Penwork initial beneath miniature,"18,41,74","Brown habits, rope belts, tonsures, monks","Shoulder purses, walking stick",,Stone block blue tower with pointed orange roof and arched door,Column miniature; diaper pattern background; preliminary sketch in lower margin 
27,83r,167,,Gilt initial with blue penwork decoration beneath miniature ,"18,41,74","Brown habits, rope belts, tonsures, monks","Bench, chair, knife",,,Column miniature; diaper pattern background; preliminary sketch in lower margin 
28,83v,168,,Gilt initial with blue penwork decoration beneath miniature,"18,41,66,109",Cotes in different colors with buttoned sleeves,,,,Column miniature; diaper pattern background; preliminary sketch in lower margin 
29,85v,170,,Penwork initial beneath miniature,"109,11",Cotes with buttoned sleeves,,,,Column miniature; diaper pattern background; preliminary sketch in lower margin 
30,105v,224,,Penwork initial beneath miniature,79,"Orange cote with buttoned sleeves, braided or netted hairstyle","Carved bench, table, hammer, object being hammered",,,Column miniature; diaper pattern background; preliminary sketch in lower margin 
31,111r,232,,Penwork initial beneath miniature,"79,48",Alb and almuce on Genyus seated at left,Orange bench,,,Column miniature; diaper pattern background; preliminary sketch in lower margin
32,129r,263,,Penwork initial beneath miniature,48,Almuce and chasuble on Genyus,Pulpit,,,Column miniature; diaper pattern background; preliminary sketch in lower margin 
33,137r,284,,,108,Orange tunic with buttoned sleeves and hood,"Bow, burning arrow",,"Castle with stone block walls, arched entrance, turrets",Column miniature; diaper pattern background; preliminary sketch in lower margin 
34,137v,276,,Penwork initial beneath miniature,"92,Galatea",Orange tunic with buttoned sleeves and hood,"Hammer, chisel, stone block",Grassy mound,,Column miniature; diaper pattern background; preliminary sketch in lower margin 
35,139v,282,,Penwork initial beneath miniature,"92,Galatea",Blue cote with buttoned sleeves worn by Galatea at right,,,,Column miniature; diaper pattern background; preliminary sketch in lower margin
