id,Folio,Illustration title,Textual elements,Initials,Characters,Costume,Objects,Landscape,Architecture,Other
20,21v,68,,Initial with ivy foliate ornament follows miniature,"26,2",Cotes on figures,Club held by Dangier,"Trees, brown ground",,Gabled frame; miniature is damaged
21,22r,97,,Initial with ivy foliate ornament follows miniature,"96,2",Orange cote under sleeveless gray surcote and braided or netted hairstyle on Reson at left,,Brown ground,"Gray stone block castle walls, turrets, white steps",Architectural gabled frame; diaper pattern background
22,23r,116,,Initial with ivy foliate ornament follows miniature,"3,2",Cotes on figures,,,,Architectural gabled frame; diaper pattern background
23,24r,73,,Initial with ivy foliate ornament follows miniature,"45,94,26",Cotes under sleeveless surcotes and braided or netted hairstyles on Franchise and Pitie,Club held by Dangier,"Trees, brown ground",,Architectural gabled frame; diaper pattern background
24,25r,64,,Initial with ivy foliate ornament follows miniature,"11,2","Orange sleeveless surcote over gray cote on Bel Acueil, L'Amans in gray cote",,,,Architectural gabled frame; diaper pattern background in pink/black/orange/white
25,25v,82,,Initial with ivy foliate ornament follows miniature,"2,11",Cotes worn by male and female figure,,,,Architectural gabled frame; diaper pattern background
26,26r,85,,Initial with ivy foliate ornament follows miniature,"54,58,11","Gray sleeveless surcote over orange cote on Jalousie, cotes on male figures",,,,Architectural gabled frame; diaper pattern background
27,28r,91,,Initial with ivy foliate ornament follows miniature,"58, castle builders",Cotes on builders,"Ladder, trowel, hods",,Stone block walls and turrets of castle,Architectural frame with two gables
28,29v,95,,Initial with foliate ornament follows miniature,60,Orange cote and tonsure,"Chair, sloping writing desk, parchment leaves, writing instrument",,,Architectural gabled frame; diaper pattern background
29,30v,97,,Initial with ivy foliate ornament follows miniature,"96,2","Sleeveless surcote over orange cote and braided or netted hairstyle on Reson, orange cote on L'Amans",,,Turrets of castle with hinged orange door and white steps,Architectural gabled frame; diaper pattern background
30,51r,116,,Initial with foliate ornament follows miniature,"3,2",Orange cote and coif on L'Amans at right,Gloves held by L'Amans,Brown ground,,Architectural frame of three trefoil arches; diaper pattern background in gilt and pink
31,64r,132,,Initial with ivy foliate ornament follows miniature,"57, Jalous' wife","Orange cote on Jalous, gray cote on his wife",Club,Brown ground,,Jalous has been defaced; diaper pattern background in gilt and pink
32,68v,143,,Initial with ivy foliate ornament follows miniature,"2,97","Sleeveless gray surcote over orange cote and a veil on Richece, orange cote on L'Amans",Glove held by L'Amans,Brown ground,,Architectural frame of three trefoil arches
33,99v,187,,Initial with foliate ornament follows miniature,"109,2",White cloth headcovering and orange cote on Vieille,Glove held by L'Amans,,Stone block walls and closed orange door or shuttered window,Architectural frame with two trefoil arches; diaper pattern background in pink and gilt
34,100v,170,,Initial with foliate ornament follows miniature,"2,109",Blue cote on L'Amans,,,,Architectural frame with three trefoil arches; diaper pattern background in pink and gilt
35,102v,201,,Initial with ivy foliate ornament follows miniature,60,"Hooded grayish robes on tonsured religious figures, Jean de Meun is tonsured and wears a blue cote","High-backed orange chair, book held by Jean de Meun",,,Diaper pattern background; thick blue frame patterned in white with gilt and orange boxes at corners
36,104r,202,,Initial with foliate ornament follows miniature,"45,26","Gray sleeveless surcote and veil on Franchise, orange cote on Dangier",Club held by Dangier,,,Architectural frame with two trefoil arches; column between figures divides scene into two
