id,Folio,Illustration title,Textual elements,Initials,Characters,Costume,Objects,Landscape,Architecture,Other
1,1r,"3,4,5",,"Blue M on pink and gold ground, infilled with vine and blue and pink ivy leaves, white tracery on initial and pink ground",2,"White bed cap, blue houpellande, black belt, red chaperon, red purse","Bed and bed furnishings, washstand, needle and thread (L'Amans uses to lace up his red sleeves)","Trees, rocks, stream","Open pink building with gray tiled roof, smaller gray building with pink tiled roof, gray crenellated walls, distant pink towered building, arched bridge over stream, gray wall on the right of the scene with arched door and tree inside","The colums of text and image are surrounded by an ivy leaf border with birds, butterflies, and hybrid creatures"
59,71r,136,,,"67,95",Loose pink gown and white veil on Povreté,Hanging scaffold,Grass and flower ground
60,71v,138,,,King,Brown tunic and brown hood and hat on first king,Staff,Grass and flower ground
61,74v,143,,,"97,2",Houpellandes and gown,,"Wattle fence, elm tree, spring, grass and flower ground"
62,77v,150,,,"4,8,41",White veil and wimple on Contreinte Atenance and cowl and tonsure on Fausemblant,Staffs and rosary beads,Grass ground
63,78v,151,,,4,Blue houpellande with red purse at waist and crown,,Grass and flower ground
64,79v,153,,,4,Houpellandes,,Grass and flower ground
65,89v,166,,,"41,8",White veil and wimple on Contreinte Atenance and cowl and tonsure on Fausemblant,Staffs and rosary beads,Grass and flower ground
66,111v,202,,,"45,26",Franchise wears a red gown with a camail and helmet,"Spear, club, knife in pouch attached to Dangier's belt, green shield held by Franchise, blue shield held by Dangier",Grass and flower ground
67,121r,232,,,"79,48",Genyus wears an almuce and surplice,Chair,Grass and flower ground
68,123v,235,,,37,Blue tunic with a red hood,Fire,"Rocks, grass and flower ground"
69,139v,257,,,"48,79",Genyus wears an almuce and surplice,Bench,Grass and flower ground
70,140r,262,,,"4,48",Red houpellande and crown on Amors,"Green chasuble, crozier and white mitre held by Amors",Grass and flower ground
71,140r,263,,,"4,79,48",Barons wear various colors of houpellande and chaperon and Genyus wears a green chasuble and white mitre,"Pulpit, book, crozier",Grass and flower ground
72,147r,267,,,57,,,"Rocky mound, trees, spring, grass and flower ground"
73,148v,270,,,"108,54",Blue gown and crown on Venus,,Grass and flower ground
74,149r,272,,,108,Pink gown and crown,Bow and arrow,Grass and flower ground
75,150r,276,,,92,Red tunic on Pygmalion,"Carving bench, carving tools, statue",Grass and flower ground,,Pygmalion has been defaced
76,150v,278,,,92,Red belted tunic and brown hat on Pygmalion and blue gown and crown on Galatea,"Carving bench, carving tools, statue",Grass and flower ground
77,152r,281,,,"92,108",,"Carving bench and carving tools are at the left, pedestal, Venus holds an orb",Grass and flower ground
78,152v,282,,,"92,108",Red belted tunic and blue hose and brown hat on Pygmalion,"Pedestal, Venus holds an orb",Grass and flower ground
79,153r,284,,,108,Red gown and crown,Flaming torch,Grass and flower ground,"Pink castle with red and gray roofs, arched doorway"
80,153v,286,,,"19,11",Houpellandes,,Grass and flower ground
81,158r,The Trinity
82,189r,The Trinity
