ID,Folio,Illustration title,Textual elements,Initials,Characters,Costume,Objects,Landscape,Architecture,Other
28,18v,54,,,"2,4",Hooded tunic on L'Amans at right,Chair,,,The miniature is damaged and has flaking pigment 
29,21r,65,,,"2,11",Surcotes,,Trees and rose bush with 5-lobed orange flowers and vines within garden walls,Garden walls with arched door,The miniature is damaged and has flaking pigment 
30,21v,68,,,"2,26",Blue surcote and coif on Dangier at right,Club held by Dangier,Trees and rose bush with 5-lobed orange flowers,,This folio has a partial bar border with a grotesque creature 
31,21v,69,,,"2,96",Orange surcote over pink cote and veil,,,,Diaper pattern over blue background
32,22r,70,,,"2,3 ",Surcotes with hoods and coif,,,,Diaper pattern over blue background
33,22v,73,,,"11,108",Surcotes over cotes and veils on female figures,Club held by Dangier,,,Partial bar border with grotesque creature and foliate extenders; this miniature is damaged and has flaking pigment
34,23r,77,,,"96,94,45  ",Orange surcote over pink cote and veil on Venus,,,,Diaper pattern over blue background
35,23v,83,,,"58,2",Orange surcote with hood ,Bench,,,"This folio has partial bar borders with grotesque creatures and line extenders, the miniature is damaged and has flaking pigment "
36,23v,86,,,"54,2",Blue surcote over orange cote and veil on Honte at right,,,,Diaper pattern over pink background
37,23v,88,,,"54,26,89",Orange surcote over pink cote and veil on female figure on right ,"Dirt ground, roll of grass, tree",,, The miniature is damaged and has flaking pigment 
38,24r,90,,,"2,26 ","Surcotes on figures, coif on Dangier",Club,,, The miniature is damaged and has flaking pigment; diaper pattern over blue background
39,24v,92,,,"58,11",Blue surcote and coif on Jalousie,Key and club,,"Castle with turrets and crenellation, arched entrance with portcullis",This folio has a partial bar border ending in a grotesque head and a line extender; the miniature is damaged and has flaking pigment
40,25r,95,,,60,Hooded sleeveless cloak over blue cote and hat on Jean de Meun,"Chair, table?",Trees,,This folio has a partial bar border ending in a grotesque head and a foliate extender; the miniature is damaged and has flaking pigment
